number,school,address,email
61,가야대학교,경상남도 김해시 삼계로 208 (삼계동)
62,가야대학교,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교)"
63,가야대학교일반대학원,경상남도 김해시 삼계로 208 (삼계동)
64,가톨릭대학교,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)"
65,가톨릭대학교,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교 성모병원)"
66,가톨릭대학교,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)"
67,가톨릭대학교대학원,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)"
68,감리교신학대학교,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)"
69,감리교신학대학교대학원,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)"
70,강남대학교,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)"
71,강남대학교대학원,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)"
72,건국대학교,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)"
73,건국대학교,"충청북도 충주시 충원대로 268 (단월동, 건국대학교GLOCAL캠퍼스)"
74,건국대학교일반대학원,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)"
75,건양대학교,"충청남도 논산시 대학로 121 (내동, 건양대학교)"
76,건양대학교,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)"
77,건양대학교 일반대학원,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)"
78,경기대학교,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교)"
79,경기대학교,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)"
80,경기대학교 일반대학원,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)"
81,경남대학교,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)"
82,경남대학교대학원,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)"
83,경동대학교,"강원도 고성군 토성면 봉포4길 46 (봉포리, 경동대학교)"
84,경동대학교,"강원도 원주시 문막읍 견훤로 815 (후용리, 경동대학교)"
85,경동대학교,경기도 양주시 경동대학로 27 (고암동)
86,대구한의대학교,"경상북도 경산시 한의대로 1 (유곡동, 대구한의대학교)"
87,대구한의대학교 대학원,"경상북도 경산시 한의대로 1 (유곡동, 대구한의대학교)"
88,경성대학교,"부산광역시 남구 수영로 309 (대연동, 경성대학교)"
89,경성대학교 일반대학원,"부산광역시 남구 수영로 309 (대연동, 경성대학교)"
90,가천대학교,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)"
91,가천대학교 일반대학원,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)"
92,경일대학교,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교)"
93,경일대학교 일반대학원,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교)"
94,경주대학교,"경상북도 경주시 태종로 188 (효현동, 경주대학교)"
95,경주대학교일반대학원,"경상북도 경주시 태종로 188 (효현동, 경주대학교)"
96,경희대학교,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)"
97,경희대학교대학원,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)"
98,계명대학교,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스)"
99,계명대학교 대학원,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스)"
100,고려대학교,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))"
101,고려대학교 세종캠퍼스,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스)"
